Unique ID,Start Date,End Date,Q1. What is your current age?  (Age),Q2. What is your gender?  (Gender),Q3. Which of the following best describes the area or community in which you live?  (Urban/Rural),Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes.  (Income),Beer,Flavored/Mixed Beer,Non-Alcoholic Beers,Hard Ciders,Hard Kombucha,Wine,Hard Beverage,Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,Q9. How relevant would you say the shown product is to you based on what you saw and read? (Concept Relevance),Q10. How appealing or unappealing is the shown product  to you? (Concept Appeal),Q11. How different do you think the shown product is from other beers currently available for purchase? (Concept Differentiation),"Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are? (Concept Beleivability)",Q13. How does the price fit with what you’d expect the shown to cost? (Concept_Price),Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores? (Concept_Purchase Intent),"Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products? (Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…?  (Concept_Replacement Product)",Q18_1 What specific product that you are currently using would the shown product replace?  Please type in ONE specific brand or product per space provided.,Q18_2 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Q18_3 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Unnamed: 35,time_taken,Predicted_OE_Quality_Flag
63,12-10-2024 08:52,12-10-2024 08:59,64,2,5,11,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,5,5,4,5,5,9,Never tried,Just don’t like,1,,,,,1163,0
67,12-10-2024 09:51,12-10-2024 10:05,30,1,5,11,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,5,5,5,4,5,5,9,It has a alcohol percentage that I prefer over alcoholic beverages that have high alcohol content,There is nothing that I dislike,1,,,,,1163,0
70,12-10-2024 10:38,12-10-2024 10:46,39,2,5,11,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,Ultra light and refreshing,That's not applicable,2,Stella artois,Busch,Dos equis,,1163,0
84,12-10-2024 12:46,12-10-2024 12:56,37,2,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,4,5,5,9,The taste is refteshing,I am not a huge fan light beer,2,Corona,Corona light,Corona extra,,1163,0
88,12-10-2024 12:54,12-10-2024 13:04,22,2,5,11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,5,5,4,5,5,9,i like how the price is average,the percentage of alcohol is low,1,,,,,1163,0
90,12-10-2024 13:04,12-10-2024 13:15,36,2,5,11,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,5,5,5,4,5,5,9,"If it is indeed low calorie and low alcohol content without compromising on taste, it might be worth the priciness.","The claims are not totally credible, and it’s a little expensive for beer.",1,,,,,1163,0
91,12-10-2024 13:05,12-10-2024 13:18,49,1,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5,5,4,5,5,9,The great taste and price,The color and price,2,Bud light,Coors light,Budweiser,,1163,1
101,12-10-2024 13:59,12-10-2024 14:24,53,2,5,11,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,5,5,5,4,5,5,9,Only 70 calories,Nothing do I dislike,2,Sierra Nevada,Miller Light,Blue moon,,1163,0
109,12-10-2024 14:43,12-10-2024 14:53,40,1,5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Taste,Gets flat quickly,2,Heineken,Coors,Ballentine,,1163,0
120,12-10-2024 15:26,12-10-2024 15:39,34,1,5,11,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,5,5,5,4,5,5,9,Very unique taste and benefits,Nothing much everything is good,1,,,,,1163,0
131,12-10-2024 16:47,12-10-2024 16:56,48,2,5,11,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,5,5,5,4,5,5,9,Sounds good,Light,2,Budweiser,Bud light,Michelob,,1163,0
145,12-10-2024 17:43,12-10-2024 17:57,56,1,5,11,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,5,5,5,4,5,5,9,The taste will have me wanting to get it,,2,Budweiser,Lager,Corona,,1163,0
159,12-10-2024 19:15,12-10-2024 19:22,30,2,5,11,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,5,5,5,4,5,5,9,It's organic and alot healthier of a choice,Not much,3,Reds,Woodchuck,Mikes hard,,1163,0
167,12-10-2024 19:53,12-10-2024 20:20,62,2,5,11,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,"It is my favorite it is light, and I like it cold",Nothing,2,Busch Light,Carona Light,Coors Light,,1163,0
168,12-10-2024 20:25,12-10-2024 20:31,43,1,5,11,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,I like that it’s certified organic,There is nothing I dislike,1,,,,,1163,0
176,12-10-2024 20:55,12-10-2024 21:21,55,1,5,11,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,It's the best,Nothing,3,Bud light,Coors light,Budweiser,,1163,0
180,12-10-2024 21:03,12-10-2024 21:35,46,1,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Nice bottle,I don’t dislike anything about it.,2,Bud light,Miller,Coors,,1163,1
182,12-10-2024 21:39,12-10-2024 21:56,26,1,5,11,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,5,5,5,4,5,5,9,It’s quality good tasting beer,Price could be cheaper,2,Bud light,Miller lite,Busch lite,,1163,0
189,12-10-2024 23:31,12-10-2024 23:53,48,1,5,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,The lower calories while being able to keep the quality and taste,I don't see anything to dislike about the product,2,Yuengling,Miller Lite,Bud light,,1163,1
190,12-10-2024 23:56,13-10-2024 00:08,40,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,It's a brand name that's a light beer and I don't expect it to be too expensive.,nothing,1,,,,,1163,0
200,13-10-2024 02:04,13-10-2024 02:23,53,2,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,It looks as if it would be a great tasting beer.I would like to try it,Well I can't nothing negative about because I've never tried it.,1,,,,,1163,0
210,13-10-2024 05:20,13-10-2024 05:30,56,1,5,11,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,5,5,4,5,5,9,I don't know,Nothing,1,,,,,1163,0
217,13-10-2024 06:33,13-10-2024 06:42,54,2,5,11,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,5,5,5,4,5,5,9,,,1,,,,,1163,0
219,13-10-2024 06:43,13-10-2024 06:48,27,2,5,11,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,Didn't like anything,Didn't dislike anything,2,Bud Weiser,Bud light,Corona,,1163,0
223,13-10-2024 07:40,13-10-2024 08:04,47,2,5,11,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5,5,5,4,5,5,9,"I like the price, the packaging and the description of the product",There was nothing that I disliked,2,Modello,Heineken,Budweiser,,1163,1
227,13-10-2024 08:53,13-10-2024 08:59,41,2,5,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Label,Nothing,2,Stella artois,Bud,Corona,,1163,0
234,13-10-2024 09:35,13-10-2024 09:48,40,2,5,11,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,Very good,Nothing I would drink this,3,Modelo lager,Coots light,Bud light,,1163,0
246,13-10-2024 11:22,13-10-2024 11:37,36,1,5,11,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,It's a light beer,,2,Budwiser,Miler lie,Bud lite,,1163,0
265,13-10-2024 13:50,13-10-2024 13:59,35,1,5,11,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,5,5,4,5,5,9,"The vividness, color. I liked it",No comment,1,,,,,1163,0
272,13-10-2024 14:20,13-10-2024 14:28,59,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Its made by anheswer busch,There is nothing i dislike about the product,1,,,,,1163,0
283,13-10-2024 14:57,13-10-2024 15:09,39,2,5,11,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,5,5,4,5,5,9,The color and price are what I’m looking for. The calories are also something I pay attention to,I personally don’t see anything wrong besides the flavor I don’t like the brand very much,1,,,,,1163,0
287,13-10-2024 15:26,13-10-2024 15:34,31,2,5,11,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,5,5,5,4,5,5,9,I like the whole idea and it's very appealing.,I don't dislike it,2,Right rec,The ion,Red in,,1163,0
298,13-10-2024 16:32,13-10-2024 16:42,32,1,5,11,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,I like the low carbs and the feeling of not being bloated.,I prefer beer with ABV over 5%,1,,,,,1163,0
316,13-10-2024 17:43,13-10-2024 17:55,52,2,5,11,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,5,5,5,4,5,5,9,I like the strong but good taste,Nothing,3,Michelob light,Corona,Budweiser,,1163,0
323,13-10-2024 18:17,13-10-2024 18:28,47,1,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,5,4,5,5,9,I don't like it,Don't drink anything,1,,,,,1163,1
329,13-10-2024 19:02,13-10-2024 19:09,34,2,5,11,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,5,5,5,4,5,5,9,It's calorie count,Nothing,2,Coors light,Bud light,Corona,,1163,0
330,13-10-2024 19:04,13-10-2024 19:14,63,2,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Something new,I never had it so I do not know,1,,,,,1163,0
332,13-10-2024 18:58,13-10-2024 19:17,23,2,5,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I like the price,It has less alcohol,1,,,,,1163,0
336,13-10-2024 19:46,13-10-2024 19:57,36,1,5,11,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,5,5,5,4,5,5,9,the attempt to make an organic beer is kinda cute.,im not sure i really care about whether or not a beer is organic.,2,millerlight,bud light,budweiser,,1163,0
337,13-10-2024 19:45,13-10-2024 20:03,43,2,5,11,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,I like that it is from a trusted brand for quality,There is nothing I dislike,1,,,,,1163,0
340,13-10-2024 20:05,13-10-2024 20:20,51,2,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Is light,Nothing,2,Miller light,Natural light,Bad light,,1163,1
346,13-10-2024 20:27,13-10-2024 20:35,35,2,5,11,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,5,5,4,5,5,9,The flavor,The package,1,,,,,1163,0
354,13-10-2024 21:00,13-10-2024 21:11,49,2,5,11,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,I always choose this,Nothing at all,2,Bud light,Busch,Moller,,1163,0
355,13-10-2024 21:15,13-10-2024 21:23,39,1,5,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,4,5,5,9,not a fan,never tried,3,ultra light,coors,corona,,1163,0
357,13-10-2024 21:17,13-10-2024 21:26,33,1,5,11,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I really like this,Nothing everything is good,2,Corolla,Corona extra,Coors light,,1163,0
359,13-10-2024 21:14,13-10-2024 21:28,52,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,5,5,4,5,5,9,The taste,Its quality,3,Miller light,Budwiser,Coors,,1163,0
362,13-10-2024 21:42,13-10-2024 21:52,42,2,5,11,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,5,5,5,4,5,5,9,Not really keen to try,Not keen to try,1,,,,,1163,0
365,13-10-2024 22:01,13-10-2024 22:09,62,1,5,11,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,"Crisp taste,refreshing, extra lite",Nothing,1,,,,,1163,0
385,14-10-2024 00:04,14-10-2024 00:10,38,2,5,11,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,Just being a good drink overall,Seems basic,2,Bud light,Bud weiser,Corona,,1163,0
392,14-10-2024 00:40,14-10-2024 00:56,47,1,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,Very unique and innovative,There's nothing that I dislike,1,,,,,1163,1
393,14-10-2024 01:18,14-10-2024 01:24,39,1,5,11,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,"It looks smooth, tasty.",Not a thing.,2,Modelo,Heinikin,Miller,,1163,0
397,14-10-2024 01:26,14-10-2024 01:49,63,1,5,11,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,5,5,4,5,5,9,I cannot imagine any situation that would urge me to want to buy that brand,The price is definitely too high The taste is not a taste that I like I'm a malt liquor fan like cool 45 and it's not available everywhere that I choose to be,1,,,,,1163,0
398,14-10-2024 01:40,14-10-2024 01:55,33,1,5,11,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,5,5,4,5,5,9,I like the label of the bottling.,It’s too light. I like my beer filling.,1,,,,,1163,0
399,14-10-2024 02:08,14-10-2024 02:13,41,1,5,11,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,Nothing,No dislike,3,Mich ultra,,,,1163,0
403,14-10-2024 03:16,14-10-2024 03:29,52,1,5,11,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,Michelob is a quality brand know for quality beer.,It’s too light for me personally.,1,,,,,1163,0
405,14-10-2024 03:58,14-10-2024 04:27,35,1,5,11,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,Michelob ULTRA Pure Gold is most favorite and its Test Excellent,"None about this, Michelob ULTRA Pure Gold is best one",3,Its Quality,Taste,Relaiable Product,,1163,0
415,14-10-2024 06:59,14-10-2024 07:25,53,2,5,11,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,"I like that it's from Michelob, I have always liked this brand.",I don't especially like the price for a 6 pack.,2,Bud Ice,Bud Light,Budweiser,,1163,0
423,14-10-2024 11:59,14-10-2024 12:11,55,2,5,11,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,Taste,Nothing,3,Bud ice,Natty daddy,Natural ice,,1163,0
453,14-10-2024 20:42,14-10-2024 20:55,46,2,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,I would have to say that the Michelob Ultra Pure Gold seems like it would be good enough to drink and taste really good.,I dislike nothing about it,1,,,,,1163,0
456,14-10-2024 22:50,14-10-2024 22:55,55,2,5,11,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,5,5,5,4,5,5,9,Quality variety,None at this time,2,Ultra,Zero,Unique,,1163,0
457,14-10-2024 22:44,14-10-2024 22:57,24,1,5,11,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,5,5,5,4,5,5,9,"I might like the taste. I've never tried it, but it doesn't look bad.",I don't like that its only 3.8% alcohol. I prefer the standard 5%.,1,,,,,1163,0
463,15-10-2024 00:14,15-10-2024 00:36,43,2,5,11,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,5,5,5,4,5,5,9,I would most definitely be more interested in it because it's organic and nNot as fattening as other beer brands. That's a huge deal for me.,Not a thing,2,Regular Michelin ultra,Bud select,Busch,,1163,1
469,15-10-2024 06:32,15-10-2024 07:28,30,2,5,11,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,looks premium,nothing,1,,,,,1163,0
487,15-10-2024 21:37,15-10-2024 21:46,30,1,5,11,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,It's affordable,The taste,3,Bud light,Jobs,Blue moon,,1163,0
491,15-10-2024 23:01,15-10-2024 23:07,31,1,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,9,very good,nothing,3,walmart,target,lowes,,1163,0
492,15-10-2024 22:50,15-10-2024 23:17,37,4,5,11,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,5,5,5,4,5,5,9,it looks clean tasting,i'm worried that it will taste kind of bland.,1,,,,,1163,0
499,16-10-2024 01:54,16-10-2024 02:05,38,2,5,11,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,5,5,5,4,5,5,9,I like the color,Nothing,1,,,,,1163,0
501,16-10-2024 02:28,16-10-2024 02:56,62,2,5,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,Nothing not my kind of beer,Don't drink this,1,,,,,1163,0
502,16-10-2024 03:39,16-10-2024 03:50,40,1,5,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,5,5,4,5,5,9,Good,Like,3,Corona,Budweiser,Modelo,,1163,0
506,16-10-2024 06:12,16-10-2024 06:24,33,1,5,11,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,5,5,4,5,5,9,Price and presentation,Taste,1,,,,,1163,0
507,16-10-2024 06:28,16-10-2024 06:42,42,2,5,11,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,5,5,5,4,5,5,9,For me it was the only the best grown ingredients in America.,"I dont like light beer much. So, I woukdnt purchase this.",1,,,,,1163,0
511,16-10-2024 07:52,16-10-2024 08:02,33,1,5,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,5,4,5,5,9,Nice attracting color and taste,I dislike the price,2,Budweiser,Heineken,Stella,,1163,0
519,16-10-2024 13:50,16-10-2024 14:04,33,1,5,11,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,5,5,5,4,5,5,9,feels cleaner without sacrificng taste,sommetimes a bit too light,2,corona,modelo,bisch,,1163,0
527,16-10-2024 15:19,16-10-2024 15:49,40,1,5,11,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,5,5,5,4,5,5,9,I have drank Pure Gold before it’s a very smooth and tasty beer. I like that it’s essentially gluten free.,It would have to be the price but overall a good beer.,2,Busch,Busch ice,Natural light,,1163,0
531,16-10-2024 16:21,16-10-2024 16:32,41,1,5,11,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,5,5,5,4,5,5,9,The flavor is the most important thing about Michelob ULTRA Pure Gold,I do not dislike anything about Michelob ULTRA Pure Gold: Extra Light Lager.,1,,,,,1163,0
543,16-10-2024 18:45,16-10-2024 18:54,35,2,5,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,4,5,5,9,That Michelob tends to make good beer,I prefer Bud light over michelob,2,Budlight,Hurricane,Steel reserve,,1163,0
544,16-10-2024 18:46,16-10-2024 19:22,41,1,5,11,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,5,5,5,4,5,5,9,It is good for me,I like this,1,,,,,1163,0
559,16-10-2024 22:52,16-10-2024 23:03,53,1,5,11,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,5,5,4,5,5,9,No comment for this answer,Nothing,2,Budweiser,Coors,Lite,,1163,0
572,17-10-2024 03:58,17-10-2024 04:09,25,1,5,11,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,5,5,4,5,5,9,The color and flavor,The lower alcohol content,2,Heineken,Ciroq,Tequila,,1163,0
586,17-10-2024 07:11,17-10-2024 07:35,36,1,5,11,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,5,5,5,4,5,5,9,The taste and the flavors,Nothing to dislike,2,Coors light,Bud light,Budweiser,,1163,0
588,17-10-2024 07:29,17-10-2024 07:47,26,2,5,11,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,5,5,5,4,5,5,9,One ting I like about this beer is the low number of calories in it. 85 calories in a beer is relatively low and would not significantly affect my health and lifestlye.,One of the things I don't like is the transparent nature of the bottle which exposes the gold-like contents beer inside. I believe that the color of the bottle should be colored to make it more appealing and confidential drink.,2,Heineken,Corona,Corona premium,,1163,0
591,17-10-2024 07:47,17-10-2024 07:55,35,1,5,11,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,5,5,5,4,5,5,9,It is a premium quality drink,Nothing to have dislike,2,Nestle,Red Bull,7 AB InBev,,1163,0
592,17-10-2024 07:44,17-10-2024 07:55,34,1,5,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,The body,I like everything,2,Bud Light,Budweiser,Marina,,1163,0
596,17-10-2024 07:42,17-10-2024 08:16,30,1,5,11,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,5,5,5,4,5,5,9,I enjoy the flavor and taste,The price is not great,2,Heineken,dos x,beer,,1163,0
598,17-10-2024 08:16,17-10-2024 08:29,31,1,5,11,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,5,5,5,4,5,5,9,The taste,Price,2,Twisted tea,Corona,Truelys,,1163,0
603,17-10-2024 08:55,17-10-2024 09:06,37,2,5,11,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,5,5,5,4,5,5,9,I like the price it’s great,Nothing I dislike about it,1,,,,,1163,0
614,17-10-2024 09:44,17-10-2024 10:06,50,2,5,11,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,5,5,5,4,5,5,9,That is light,Nothing,3,Corona,Stella,budwiser,,1163,0
616,17-10-2024 10:22,17-10-2024 10:33,54,2,5,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,9,no,no,1,,,,,1163,0
632,17-10-2024 14:05,17-10-2024 14:22,38,2,5,11,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,5,5,4,5,5,9,Low calorie,I liked everything,2,Corona,Tecate,Budweisser,,1163,0
642,17-10-2024 15:29,17-10-2024 15:36,34,1,5,11,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,The taste and filling,The cost,2,Crisp,Gold,Refresh,,1163,0
644,17-10-2024 15:34,17-10-2024 15:44,43,1,5,11,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,5,5,5,4,5,5,9,I like that it is organic and a light beer.  I also like Michelob Ultra.,I don't like the expensive cost.,1,,,,,1163,0
654,17-10-2024 16:27,17-10-2024 16:34,46,1,5,11,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,5,5,5,4,5,5,9,I like the way it looks.,I dislike the alcohol content in it.,1,,,,,1163,0
662,17-10-2024 18:19,17-10-2024 18:27,26,2,5,11,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,5,5,4,5,5,9,I have never had this beer,I don’t know,1,,,,,1163,0
